task,feature_set,model,fold,train_seeds,test_seeds,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,roc_auc,pr_auc,roc_auc_ovr_macro
cause_family,all,random_forest,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.9957983193277311,0.9901960784313726,0.9933988593617279,0.9957772115034582,0.9967637540453075,0.9901960784313726,0.9931544395698192,,,0.9999399269511726
cause_family,all,random_forest,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0
cause_family,all,random_forest,pooled,,1001-1010,,2380,0.9978991596638656,0.9950980392156863,0.9967158682725105,0.9978939470382012,0.9983739837398374,0.9950980392156863,0.9965729381344421,,,0.9999819780853518
cause_family,all,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.9978991596638656,0.9950980392156863,0.9967158682725105,0.9978939470382013,0.9983739837398374,0.9950980392156863,0.9965729381344421,,,1.0
cause_family,all,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.9978991596638656,0.9950980392156863,0.9967158682725105,0.9978939470382013,0.9983739837398374,0.9950980392156863,0.9965729381344421,,,0.9999879853902346
cause_family,all,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.9978991596638656,0.9950980392156863,0.9967158682725105,0.9978939470382013,0.9983739837398374,0.9950980392156863,0.9965729381344421,,,1.0
cause_family,all,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.9936974789915967,0.9852941176470589,0.9900401908223359,0.9936392141937014,0.9951377377851448,0.9852941176470589,0.9897300620698252,,,0.9999639561707037
cause_family,all,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.9957983193277311,0.9901960784313726,0.9933988593617279,0.9957772115034582,0.9967637540453075,0.9901960784313726,0.9931544395698192,,,1.0
cause_family,all,extra_trees,pooled,,1001-1010,,2380,0.9966386554621849,0.9921568627450981,0.9947277516153697,0.9966227554782643,0.9973983665403997,0.9921568627450981,0.9945173647672805,,,0.9999884659746252
seven_class,all,logistic,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.9663865546218487,0.9663865546218487,0.9662201623125873,0.9662201623125874,0.9703237632837078,0.9663865546218487,0.9615074193122018,,,0.9940991102323282
