feature,importance,task,feature_set,model,fold
numeric__mean_rtt_ms,0.010201038319074677,binary_attack,all,extra_trees,4
numeric__mean_rssi,0.006205396475288248,binary_attack,all,extra_trees,4
numeric__p95_rtt_ms,0.0034984620730784907,binary_attack,all,extra_trees,4
numeric__median_rtt_ms,0.0033015471833574956,binary_attack,all,extra_trees,4
numeric__max_rtt_ms,0.0032145547149563356,binary_attack,all,extra_trees,4
numeric__std_rtt_ms,0.0028735932915323376,binary_attack,all,extra_trees,4
numeric__app_rx_delta,0.0018094259303986322,binary_attack,all,extra_trees,4
numeric__app_tx_delta,0.0016289070606116706,binary_attack,all,extra_trees,4
numeric__root_server_tx_delta,0.0012279769451745486,binary_attack,all,extra_trees,4
numeric__root_server_rx_delta,0.0012186692261178013,binary_attack,all,extra_trees,4
numeric__root_mac_acked_delta,0.0012028053959245737,binary_attack,all,extra_trees,4
numeric__transaction_success_count,0.001046566731987253,binary_attack,all,extra_trees,4
numeric__uplink_success_count,0.0010271587889987882,binary_attack,all,extra_trees,4
numeric__transaction_count,0.0010101329916701255,binary_attack,all,extra_trees,4
numeric__client_energest_total_delta,0.0006429445235964695,binary_attack,all,extra_trees,4
numeric__client_mac_reset_nodes,0.00037460478413509746,binary_attack,all,extra_trees,4
numeric__client_mac_valid_nodes,0.0002894680478544104,binary_attack,all,extra_trees,4
numeric__parent_changes_delta,0.00018005869907044653,binary_attack,all,extra_trees,4
numeric__app_delivery_ratio,8.34593042984201e-05,binary_attack,all,extra_trees,4
numeric__app_timeouts_delta,5.308901541679044e-05,binary_attack,all,extra_trees,4
numeric__uplink_delivery_ratio,2.207402547790474e-05,binary_attack,all,extra_trees,4
numeric__queue_drops_delta,1.7014531319449493e-05,binary_attack,all,extra_trees,4
numeric__route_miss_delta,0.0,binary_attack,all,extra_trees,4
numeric__reachable_fraction,0.0,binary_attack,all,extra_trees,4
numeric__root_mean_rssi,0.0,binary_attack,all,extra_trees,4
numeric__mean_neighbors,0.0,binary_attack,all,extra_trees,4
numeric__client_mac_rx_delta,0.17920241748766086,binary_attack,all,extra_trees,5
numeric__client_energest_tx_delta,0.09065080298018544,binary_attack,all,extra_trees,5
numeric__client_energest_listen_delta,0.0816057871126011,binary_attack,all,extra_trees,5
numeric__client_radio_tx_fraction,0.08092255813062064,binary_attack,all,extra_trees,5
numeric__mean_rank,0.07030080977388259,binary_attack,all,extra_trees,5
numeric__root_mac_rx_delta,0.06811911629759204,binary_attack,all,extra_trees,5
numeric__mean_etx_x100,0.064789659175097,binary_attack,all,extra_trees,5
numeric__client_mac_ack_ratio,0.05276372039146185,binary_attack,all,extra_trees,5
numeric__client_mac_acked_delta,0.04162148001431079,binary_attack,all,extra_trees,5
numeric__p95_etx_x100,0.040141639021433875,binary_attack,all,extra_trees,5
numeric__client_mac_tx_attempts_delta,0.038976026803111234,binary_attack,all,extra_trees,5
numeric__root_mean_etx_x100,0.03897031892273913,binary_attack,all,extra_trees,5
numeric__root_mac_ack_ratio,0.03561490867461399,binary_attack,all,extra_trees,5
numeric__std_etx_x100,0.02717790146485281,binary_attack,all,extra_trees,5
numeric__root_mac_tx_attempts_delta,0.017981755300537344,binary_attack,all,extra_trees,5
numeric__root_radio_tx_fraction,0.014327161438916084,binary_attack,all,extra_trees,5
numeric__root_energest_tx_delta,0.013615966898523967,binary_attack,all,extra_trees,5
numeric__mean_rtt_ms,0.008868806651330816,binary_attack,all,extra_trees,5
numeric__mean_rssi,0.008514767705530989,binary_attack,all,extra_trees,5
numeric__p95_rtt_ms,0.003927322100283717,binary_attack,all,extra_trees,5
numeric__median_rtt_ms,0.0035108634634858395,binary_attack,all,extra_trees,5
numeric__std_rtt_ms,0.0031942132603612135,binary_attack,all,extra_trees,5
numeric__max_rtt_ms,0.0028648775314889007,binary_attack,all,extra_trees,5
numeric__app_rx_delta,0.0018636864389521641,binary_attack,all,extra_trees,5
numeric__app_tx_delta,0.001677215299761446,binary_attack,all,extra_trees,5
numeric__root_server_rx_delta,0.001528948614227572,binary_attack,all,extra_trees,5
numeric__root_mac_acked_delta,0.0013165483019417922,binary_attack,all,extra_trees,5
numeric__root_server_tx_delta,0.0013013942279955263,binary_attack,all,extra_trees,5
numeric__transaction_success_count,0.0011356557920360055,binary_attack,all,extra_trees,5
numeric__transaction_count,0.0010964419235075175,binary_attack,all,extra_trees,5
numeric__uplink_success_count,0.0010676986667124356,binary_attack,all,extra_trees,5
numeric__client_energest_total_delta,0.0006556924358633124,binary_attack,all,extra_trees,5
numeric__client_mac_valid_nodes,0.0002281609913081424,binary_attack,all,extra_trees,5
numeric__client_mac_reset_nodes,0.00016932861644634729,binary_attack,all,extra_trees,5
numeric__parent_changes_delta,0.00014677524656848674,binary_attack,all,extra_trees,5
numeric__app_timeouts_delta,5.264717248792701e-05,binary_attack,all,extra_trees,5
numeric__queue_drops_delta,3.779877202958595e-05,binary_attack,all,extra_trees,5
numeric__app_delivery_ratio,3.003833088901831e-05,binary_attack,all,extra_trees,5
numeric__uplink_delivery_ratio,2.908856865049766e-05,binary_attack,all,extra_trees,5
numeric__route_miss_delta,0.0,binary_attack,all,extra_trees,5
numeric__reachable_fraction,0.0,binary_attack,all,extra_trees,5
numeric__root_mean_rssi,0.0,binary_attack,all,extra_trees,5
numeric__mean_neighbors,0.0,binary_attack,all,extra_trees,5
numeric__mean_rank,0.1288434867287683,cause_family,all,random_forest,1
numeric__client_energest_listen_delta,0.113480529940747,cause_family,all,random_forest,1
numeric__client_energest_tx_delta,0.11287931572162925,cause_family,all,random_forest,1
numeric__mean_etx_x100,0.09983777759919904,cause_family,all,random_forest,1
numeric__client_radio_tx_fraction,0.09806944770818461,cause_family,all,random_forest,1
numeric__root_mean_etx_x100,0.08053331435938302,cause_family,all,random_forest,1
numeric__client_mac_rx_delta,0.07567758151636046,cause_family,all,random_forest,1
numeric__p95_etx_x100,0.054186927045832015,cause_family,all,random_forest,1
numeric__client_mac_ack_ratio,0.04677305405554969,cause_family,all,random_forest,1
numeric__root_mac_rx_delta,0.036470944746762206,cause_family,all,random_forest,1
numeric__std_etx_x100,0.03299641572176894,cause_family,all,random_forest,1
numeric__client_mac_tx_attempts_delta,0.019200490426429347,cause_family,all,random_forest,1
numeric__root_mac_tx_attempts_delta,0.014359172071312959,cause_family,all,random_forest,1
numeric__root_mac_ack_ratio,0.013994138606013312,cause_family,all,random_forest,1
numeric__client_mac_acked_delta,0.013602673470924035,cause_family,all,random_forest,1
numeric__root_energest_tx_delta,0.013521448303483919,cause_family,all,random_forest,1
numeric__mean_rssi,0.012335410453577859,cause_family,all,random_forest,1
numeric__root_radio_tx_fraction,0.012156377978751546,cause_family,all,random_forest,1
numeric__mean_rtt_ms,0.0048183109035161665,cause_family,all,random_forest,1
numeric__max_rtt_ms,0.002937830056909954,cause_family,all,random_forest,1
numeric__median_rtt_ms,0.0027650158837770403,cause_family,all,random_forest,1
numeric__std_rtt_ms,0.0023724473203053913,cause_family,all,random_forest,1
numeric__p95_rtt_ms,0.0023214887423099622,cause_family,all,random_forest,1
numeric__app_rx_delta,0.001235018206533662,cause_family,all,random_forest,1
numeric__app_tx_delta,0.0008924810493168068,cause_family,all,random_forest,1
numeric__root_mac_acked_delta,0.0006687993911361415,cause_family,all,random_forest,1
numeric__root_server_tx_delta,0.0006511053444210077,cause_family,all,random_forest,1
numeric__root_server_rx_delta,0.0005493070401983635,cause_family,all,random_forest,1
numeric__uplink_success_count,0.0005460733445366744,cause_family,all,random_forest,1
numeric__transaction_success_count,0.0004643925409185567,cause_family,all,random_forest,1
numeric__transaction_count,0.00044432793357228014,cause_family,all,random_forest,1
numeric__client_energest_total_delta,0.000336299537035695,cause_family,all,random_forest,1
numeric__client_mac_valid_nodes,3.1289275181530054e-05,cause_family,all,random_forest,1
numeric__app_timeouts_delta,2.4335687107279873e-05,cause_family,all,random_forest,1
numeric__parent_changes_delta,1.2368663574374694e-05,cause_family,all,random_forest,1
numeric__client_mac_reset_nodes,9.197372093851258e-06,cause_family,all,random_forest,1
numeric__app_delivery_ratio,1.4052528775290125e-06,cause_family,all,random_forest,1
numeric__uplink_delivery_ratio,9.530736706351465e-17,cause_family,all,random_forest,1
numeric__queue_drops_delta,6.778468821241245e-17,cause_family,all,random_forest,1
numeric__route_miss_delta,0.0,cause_family,all,random_forest,1
numeric__reachable_fraction,0.0,cause_family,all,random_forest,1
numeric__root_mean_rssi,0.0,cause_family,all,random_forest,1
numeric__mean_neighbors,0.0,cause_family,all,random_forest,1
numeric__mean_rank,0.13259387085081958,cause_family,all,random_forest,2
numeric__client_energest_listen_delta,0.11847722754117862,cause_family,all,random_forest,2
numeric__client_energest_tx_delta,0.10646345148422248,cause_family,all,random_forest,2
numeric__client_radio_tx_fraction,0.1042371160477972,cause_family,all,random_forest,2
numeric__mean_etx_x100,0.09587612352216053,cause_family,all,random_forest,2
numeric__client_mac_rx_delta,0.07138589213189551,cause_family,all,random_forest,2
numeric__root_mean_etx_x100,0.06778607924184282,cause_family,all,random_forest,2
numeric__p95_etx_x100,0.059698701895318285,cause_family,all,random_forest,2
numeric__client_mac_ack_ratio,0.04996344852806913,cause_family,all,random_forest,2
numeric__std_etx_x100,0.043954165259561986,cause_family,all,random_forest,2
numeric__root_mac_rx_delta,0.03675338367076328,cause_family,all,random_forest,2
numeric__client_mac_tx_attempts_delta,0.02192659494877542,cause_family,all,random_forest,2
numeric__client_mac_acked_delta,0.014789158566259014,cause_family,all,random_forest,2
numeric__root_mac_tx_attempts_delta,0.014495861352757907,cause_family,all,random_forest,2
numeric__root_mac_ack_ratio,0.013919458780325255,cause_family,all,random_forest,2
numeric__root_energest_tx_delta,0.013555301713116643,cause_family,all,random_forest,2
numeric__root_radio_tx_fraction,0.011613795032421952,cause_family,all,random_forest,2
numeric__mean_rtt_ms,0.005354924454307284,cause_family,all,random_forest,2
numeric__mean_rssi,0.0031708334876827927,cause_family,all,random_forest,2
numeric__max_rtt_ms,0.0025670722937865386,cause_family,all,random_forest,2
numeric__median_rtt_ms,0.002438367975573403,cause_family,all,random_forest,2
numeric__std_rtt_ms,0.0021464963843421518,cause_family,all,random_forest,2
numeric__p95_rtt_ms,0.0017047034384994565,cause_family,all,random_forest,2
numeric__app_rx_delta,0.0010390079890573755,cause_family,all,random_forest,2
numeric__app_tx_delta,0.000628225574764878,cause_family,all,random_forest,2
numeric__transaction_success_count,0.0006126768002402614,cause_family,all,random_forest,2
numeric__root_mac_acked_delta,0.0005888383032298012,cause_family,all,random_forest,2
numeric__uplink_success_count,0.0005424900761435062,cause_family,all,random_forest,2
numeric__root_server_tx_delta,0.0005199323745697439,cause_family,all,random_forest,2
numeric__root_server_rx_delta,0.0004923197387862218,cause_family,all,random_forest,2
numeric__transaction_count,0.0004145743319668954,cause_family,all,random_forest,2
numeric__client_energest_total_delta,0.0001241413274123241,cause_family,all,random_forest,2
numeric__client_mac_valid_nodes,8.377056174861866e-05,cause_family,all,random_forest,2
numeric__client_mac_reset_nodes,4.519650929269437e-05,cause_family,all,random_forest,2
numeric__parent_changes_delta,3.392259566862826e-05,cause_family,all,random_forest,2
numeric__app_delivery_ratio,2.875215641312363e-06,cause_family,all,random_forest,2
numeric__uplink_delivery_ratio,1.9117671599174033e-16,cause_family,all,random_forest,2
numeric__app_timeouts_delta,1.751143974513537e-16,cause_family,all,random_forest,2
numeric__queue_drops_delta,3.9820116918021574e-17,cause_family,all,random_forest,2
numeric__route_miss_delta,0.0,cause_family,all,random_forest,2
numeric__reachable_fraction,0.0,cause_family,all,random_forest,2
numeric__root_mean_rssi,0.0,cause_family,all,random_forest,2
numeric__mean_neighbors,0.0,cause_family,all,random_forest,2
numeric__mean_rank,0.13331497218609864,cause_family,all,random_forest,3
numeric__client_radio_tx_fraction,0.11093025556936605,cause_family,all,random_forest,3
numeric__client_energest_listen_delta,0.10763476596101419,cause_family,all,random_forest,3
numeric__client_energest_tx_delta,0.09770966182238469,cause_family,all,random_forest,3
numeric__mean_etx_x100,0.09249921805977639,cause_family,all,random_forest,3
numeric__client_mac_rx_delta,0.07950422341864735,cause_family,all,random_forest,3
numeric__root_mean_etx_x100,0.0735074199459862,cause_family,all,random_forest,3
numeric__p95_etx_x100,0.059542596723458165,cause_family,all,random_forest,3
numeric__client_mac_ack_ratio,0.05344097048273773,cause_family,all,random_forest,3
numeric__std_etx_x100,0.03712193478700195,cause_family,all,random_forest,3
numeric__root_mac_rx_delta,0.034815420503484386,cause_family,all,random_forest,3
numeric__client_mac_tx_attempts_delta,0.022425094404075432,cause_family,all,random_forest,3
numeric__root_mac_ack_ratio,0.016074360029339457,cause_family,all,random_forest,3
numeric__root_energest_tx_delta,0.01554880362229281,cause_family,all,random_forest,3
numeric__client_mac_acked_delta,0.014728329020430947,cause_family,all,random_forest,3
numeric__root_mac_tx_attempts_delta,0.014265158057663502,cause_family,all,random_forest,3
numeric__root_radio_tx_fraction,0.011716875778737923,cause_family,all,random_forest,3
numeric__mean_rtt_ms,0.004983590715566261,cause_family,all,random_forest,3
numeric__mean_rssi,0.0046046307339848705,cause_family,all,random_forest,3
numeric__max_rtt_ms,0.0027154996301741135,cause_family,all,random_forest,3
numeric__median_rtt_ms,0.002454506441417476,cause_family,all,random_forest,3
numeric__p95_rtt_ms,0.0022551197908195924,cause_family,all,random_forest,3
numeric__std_rtt_ms,0.001893341445236811,cause_family,all,random_forest,3
numeric__app_rx_delta,0.0011778084890872696,cause_family,all,random_forest,3
numeric__app_tx_delta,0.0008833343027464532,cause_family,all,random_forest,3
numeric__root_server_rx_delta,0.0008520968162103336,cause_family,all,random_forest,3
numeric__transaction_count,0.0007221911948170292,cause_family,all,random_forest,3
numeric__uplink_success_count,0.0006619103814032388,cause_family,all,random_forest,3
numeric__root_server_tx_delta,0.0006403833732951761,cause_family,all,random_forest,3
numeric__transaction_success_count,0.0005989218820401061,cause_family,all,random_forest,3
numeric__root_mac_acked_delta,0.000531793039519051,cause_family,all,random_forest,3
numeric__client_energest_total_delta,0.0001381909521196103,cause_family,all,random_forest,3
numeric__client_mac_valid_nodes,3.970939152004586e-05,cause_family,all,random_forest,3
numeric__parent_changes_delta,2.3170712429954098e-05,cause_family,all,random_forest,3
numeric__app_timeouts_delta,1.6859148192927086e-05,cause_family,all,random_forest,3
numeric__client_mac_reset_nodes,1.2417112650428934e-05,cause_family,all,random_forest,3
numeric__app_delivery_ratio,1.1838023853256466e-05,cause_family,all,random_forest,3
numeric__uplink_delivery_ratio,2.6260504202586435e-06,cause_family,all,random_forest,3
numeric__queue_drops_delta,3.070438122269133e-17,cause_family,all,random_forest,3
numeric__route_miss_delta,0.0,cause_family,all,random_forest,3
numeric__reachable_fraction,0.0,cause_family,all,random_forest,3
numeric__root_mean_rssi,0.0,cause_family,all,random_forest,3
numeric__mean_neighbors,0.0,cause_family,all,random_forest,3
numeric__mean_rank,0.1278839963191098,cause_family,all,random_forest,4
numeric__client_energest_listen_delta,0.12051212756214837,cause_family,all,random_forest,4
numeric__client_energest_tx_delta,0.10691726026873916,cause_family,all,random_forest,4
numeric__client_radio_tx_fraction,0.09466574636856766,cause_family,all,random_forest,4
numeric__mean_etx_x100,0.09043255598774431,cause_family,all,random_forest,4
numeric__root_mean_etx_x100,0.0858135071084261,cause_family,all,random_forest,4
numeric__client_mac_rx_delta,0.07695985926430464,cause_family,all,random_forest,4
numeric__p95_etx_x100,0.05817903609997109,cause_family,all,random_forest,4
numeric__std_etx_x100,0.04186113772239456,cause_family,all,random_forest,4
numeric__root_mac_rx_delta,0.03945736681864341,cause_family,all,random_forest,4
numeric__client_mac_ack_ratio,0.03638255005273031,cause_family,all,random_forest,4
numeric__client_mac_tx_attempts_delta,0.023686030676375546,cause_family,all,random_forest,4
numeric__root_energest_tx_delta,0.01632759960471607,cause_family,all,random_forest,4
numeric__root_mac_tx_attempts_delta,0.01565913010796709,cause_family,all,random_forest,4
numeric__root_mac_ack_ratio,0.015089190937855044,cause_family,all,random_forest,4
numeric__client_mac_acked_delta,0.014442531050368636,cause_family,all,random_forest,4
numeric__root_radio_tx_fraction,0.010882228441441332,cause_family,all,random_forest,4
numeric__mean_rtt_ms,0.005482053901472371,cause_family,all,random_forest,4
numeric__median_rtt_ms,0.003765349921624328,cause_family,all,random_forest,4
numeric__p95_rtt_ms,0.0034514760954318154,cause_family,all,random_forest,4
numeric__max_rtt_ms,0.0027299540465397687,cause_family,all,random_forest,4
numeric__mean_rssi,0.0023966026649940866,cause_family,all,random_forest,4
numeric__std_rtt_ms,0.0014385717017505828,cause_family,all,random_forest,4
numeric__app_rx_delta,0.0013131860200436022,cause_family,all,random_forest,4
numeric__app_tx_delta,0.0008437933016064983,cause_family,all,random_forest,4
numeric__root_server_tx_delta,0.0005175222899912699,cause_family,all,random_forest,4
numeric__root_server_rx_delta,0.0004959758829582519,cause_family,all,random_forest,4
numeric__transaction_success_count,0.0004931075871874503,cause_family,all,random_forest,4
numeric__root_mac_acked_delta,0.000488480952455771,cause_family,all,random_forest,4
numeric__transaction_count,0.000486949067906081,cause_family,all,random_forest,4
numeric__uplink_success_count,0.0004463147417286232,cause_family,all,random_forest,4
numeric__client_energest_total_delta,0.000270580282647972,cause_family,all,random_forest,4
numeric__parent_changes_delta,0.00011165017754722293,cause_family,all,random_forest,4
numeric__client_mac_valid_nodes,5.6758071870254676e-05,cause_family,all,random_forest,4
numeric__client_mac_reset_nodes,3.42474646037336e-05,cause_family,all,random_forest,4
numeric__app_timeouts_delta,1.8403968399392594e-05,cause_family,all,random_forest,4
numeric__queue_drops_delta,7.167467737598884e-06,cause_family,all,random_forest,4
numeric__uplink_delivery_ratio,1.3212338478052832e-16,cause_family,all,random_forest,4
numeric__app_delivery_ratio,1.7477794182418933e-17,cause_family,all,random_forest,4
numeric__route_miss_delta,0.0,cause_family,all,random_forest,4
numeric__reachable_fraction,0.0,cause_family,all,random_forest,4
numeric__root_mean_rssi,0.0,cause_family,all,random_forest,4
numeric__mean_neighbors,0.0,cause_family,all,random_forest,4
numeric__mean_rank,0.12123804132186407,cause_family,all,random_forest,5
numeric__client_energest_tx_delta,0.11137267982094519,cause_family,all,random_forest,5
numeric__client_energest_listen_delta,0.11079538955054705,cause_family,all,random_forest,5
numeric__client_radio_tx_fraction,0.09895191392181972,cause_family,all,random_forest,5
numeric__mean_etx_x100,0.09328484988666648,cause_family,all,random_forest,5
numeric__client_mac_rx_delta,0.0771022017434136,cause_family,all,random_forest,5
numeric__root_mean_etx_x100,0.07301647632430412,cause_family,all,random_forest,5
numeric__p95_etx_x100,0.058217948124209815,cause_family,all,random_forest,5
numeric__client_mac_ack_ratio,0.05581213497448513,cause_family,all,random_forest,5
numeric__std_etx_x100,0.04644851017564244,cause_family,all,random_forest,5
numeric__root_mac_rx_delta,0.0349265568509623,cause_family,all,random_forest,5
numeric__client_mac_tx_attempts_delta,0.02316979775667297,cause_family,all,random_forest,5
numeric__root_mac_ack_ratio,0.015422440570232296,cause_family,all,random_forest,5
numeric__root_mac_tx_attempts_delta,0.014848767407840783,cause_family,all,random_forest,5
numeric__root_energest_tx_delta,0.014210227899448232,cause_family,all,random_forest,5
numeric__client_mac_acked_delta,0.013887803692257412,cause_family,all,random_forest,5
numeric__root_radio_tx_fraction,0.011816454371136214,cause_family,all,random_forest,5
numeric__mean_rtt_ms,0.005313435385886362,cause_family,all,random_forest,5
numeric__mean_rssi,0.0032934125477958424,cause_family,all,random_forest,5
numeric__max_rtt_ms,0.002978741812665016,cause_family,all,random_forest,5
numeric__std_rtt_ms,0.0028149291424546946,cause_family,all,random_forest,5
numeric__p95_rtt_ms,0.0027747114027843823,cause_family,all,random_forest,5
numeric__median_rtt_ms,0.0025238052517255155,cause_family,all,random_forest,5
numeric__app_rx_delta,0.0010491749713548142,cause_family,all,random_forest,5
numeric__root_server_tx_delta,0.000810707185913997,cause_family,all,random_forest,5
numeric__root_mac_acked_delta,0.000759582193163993,cause_family,all,random_forest,5
numeric__root_server_rx_delta,0.0006297806028600358,cause_family,all,random_forest,5
numeric__app_tx_delta,0.0005791915278494696,cause_family,all,random_forest,5
numeric__uplink_success_count,0.0005679661803127052,cause_family,all,random_forest,5
numeric__transaction_count,0.0005168597419262504,cause_family,all,random_forest,5
numeric__transaction_success_count,0.0004928893056514151,cause_family,all,random_forest,5
numeric__client_energest_total_delta,0.00021568345551248533,cause_family,all,random_forest,5
numeric__client_mac_valid_nodes,6.48414063712727e-05,cause_family,all,random_forest,5
numeric__app_timeouts_delta,3.8953423052164295e-05,cause_family,all,random_forest,5
numeric__app_delivery_ratio,2.318820363266631e-05,cause_family,all,random_forest,5
numeric__parent_changes_delta,1.77102734044579e-05,cause_family,all,random_forest,5
numeric__client_mac_reset_nodes,1.2241593234491311e-05,cause_family,all,random_forest,5
numeric__queue_drops_delta,7.365201328730996e-17,cause_family,all,random_forest,5
numeric__uplink_delivery_ratio,7.209843070951099e-17,cause_family,all,random_forest,5
numeric__route_miss_delta,0.0,cause_family,all,random_forest,5
numeric__reachable_fraction,0.0,cause_family,all,random_forest,5
numeric__root_mean_rssi,0.0,cause_family,all,random_forest,5
numeric__mean_neighbors,0.0,cause_family,all,random_forest,5
numeric__client_mac_rx_delta,0.11432422091674735,cause_family,all,extra_trees,1
numeric__mean_rank,0.09646846182389811,cause_family,all,extra_trees,1
numeric__client_energest_tx_delta,0.09362103434977202,cause_family,all,extra_trees,1
numeric__client_radio_tx_fraction,0.09314325487047688,cause_family,all,extra_trees,1
numeric__client_energest_listen_delta,0.08598916199325567,cause_family,all,extra_trees,1
numeric__mean_etx_x100,0.0777946698860131,cause_family,all,extra_trees,1
numeric__client_mac_ack_ratio,0.05458515036666532,cause_family,all,extra_trees,1
numeric__p95_etx_x100,0.05153206327963219,cause_family,all,extra_trees,1
numeric__root_mean_etx_x100,0.045120099621098496,cause_family,all,extra_trees,1
numeric__root_mac_rx_delta,0.0440444280814894,cause_family,all,extra_trees,1
numeric__root_mac_ack_ratio,0.037502513612340777,cause_family,all,extra_trees,1
numeric__client_mac_tx_attempts_delta,0.03365729421750165,cause_family,all,extra_trees,1
numeric__client_mac_acked_delta,0.0327808348177572,cause_family,all,extra_trees,1
numeric__std_etx_x100,0.029540731721539978,cause_family,all,extra_trees,1
numeric__root_energest_tx_delta,0.01874123407494532,cause_family,all,extra_trees,1
numeric__root_radio_tx_fraction,0.0187060922603086,cause_family,all,extra_trees,1
numeric__root_mac_tx_attempts_delta,0.016195773199305007,cause_family,all,extra_trees,1
numeric__mean_rssi,0.013119883502007866,cause_family,all,extra_trees,1
numeric__mean_rtt_ms,0.012373699029399539,cause_family,all,extra_trees,1
numeric__median_rtt_ms,0.0047584380925247485,cause_family,all,extra_trees,1
numeric__max_rtt_ms,0.0033287476313110884,cause_family,all,extra_trees,1
numeric__p95_rtt_ms,0.003242936144303316,cause_family,all,extra_trees,1
numeric__std_rtt_ms,0.0029602078812169257,cause_family,all,extra_trees,1
numeric__app_tx_delta,0.0024777336635682552,cause_family,all,extra_trees,1
numeric__root_server_rx_delta,0.0021093366583115796,cause_family,all,extra_trees,1
numeric__app_rx_delta,0.002081950706573962,cause_family,all,extra_trees,1
numeric__root_server_tx_delta,0.0019595292479226735,cause_family,all,extra_trees,1
numeric__root_mac_acked_delta,0.0019277772021144193,cause_family,all,extra_trees,1
numeric__transaction_success_count,0.0014724842288289799,cause_family,all,extra_trees,1
numeric__uplink_success_count,0.0013878166692223189,cause_family,all,extra_trees,1
numeric__transaction_count,0.0013587070747754061,cause_family,all,extra_trees,1
numeric__client_energest_total_delta,0.0008037424932063074,cause_family,all,extra_trees,1
numeric__app_timeouts_delta,0.0002904496706289856,cause_family,all,extra_trees,1
numeric__app_delivery_ratio,0.00016894433591424672,cause_family,all,extra_trees,1
numeric__client_mac_valid_nodes,0.00012340448100158855,cause_family,all,extra_trees,1
numeric__client_mac_reset_nodes,0.00011282464179248922,cause_family,all,extra_trees,1
numeric__queue_drops_delta,7.471622931459781e-05,cause_family,all,extra_trees,1
numeric__uplink_delivery_ratio,6.965618722344092e-05,cause_family,all,extra_trees,1
numeric__parent_changes_delta,4.999513609016248e-05,cause_family,all,extra_trees,1
numeric__route_miss_delta,0.0,cause_family,all,extra_trees,1
numeric__reachable_fraction,0.0,cause_family,all,extra_trees,1
numeric__root_mean_rssi,0.0,cause_family,all,extra_trees,1
numeric__mean_neighbors,0.0,cause_family,all,extra_trees,1
numeric__client_mac_rx_delta,0.11715680806680556,cause_family,all,extra_trees,2
numeric__client_radio_tx_fraction,0.09525230151255316,cause_family,all,extra_trees,2
numeric__client_energest_tx_delta,0.09076058442087234,cause_family,all,extra_trees,2
numeric__client_energest_listen_delta,0.08699850978928513,cause_family,all,extra_trees,2
numeric__mean_etx_x100,0.08442209675392438,cause_family,all,extra_trees,2
numeric__mean_rank,0.07848187005514483,cause_family,all,extra_trees,2
numeric__p95_etx_x100,0.05730587101165276,cause_family,all,extra_trees,2
numeric__client_mac_ack_ratio,0.05575963592214479,cause_family,all,extra_trees,2
numeric__root_mac_rx_delta,0.04462240012893159,cause_family,all,extra_trees,2
numeric__root_mean_etx_x100,0.04287558420743068,cause_family,all,extra_trees,2
numeric__std_etx_x100,0.03827833917921801,cause_family,all,extra_trees,2
numeric__root_mac_ack_ratio,0.03716233617533868,cause_family,all,extra_trees,2
numeric__client_mac_tx_attempts_delta,0.036157439598324737,cause_family,all,extra_trees,2
numeric__client_mac_acked_delta,0.030999861769978692,cause_family,all,extra_trees,2
numeric__root_radio_tx_fraction,0.017897236096512757,cause_family,all,extra_trees,2
numeric__root_energest_tx_delta,0.01771850379689848,cause_family,all,extra_trees,2
numeric__root_mac_tx_attempts_delta,0.01686944148788226,cause_family,all,extra_trees,2
numeric__mean_rtt_ms,0.013083317014027101,cause_family,all,extra_trees,2
numeric__mean_rssi,0.008013249207447334,cause_family,all,extra_trees,2
numeric__median_rtt_ms,0.004161967511418964,cause_family,all,extra_trees,2
numeric__p95_rtt_ms,0.0037692509718964527,cause_family,all,extra_trees,2
numeric__std_rtt_ms,0.003189877266399071,cause_family,all,extra_trees,2
numeric__max_rtt_ms,0.0029219399182124736,cause_family,all,extra_trees,2
numeric__app_rx_delta,0.0022368450444086524,cause_family,all,extra_trees,2
numeric__app_tx_delta,0.002160042747293176,cause_family,all,extra_trees,2
numeric__root_server_tx_delta,0.0019590744350691937,cause_family,all,extra_trees,2
numeric__root_mac_acked_delta,0.0018802856847847669,cause_family,all,extra_trees,2
numeric__root_server_rx_delta,0.0018590555849016138,cause_family,all,extra_trees,2
numeric__transaction_success_count,0.0015840805573217934,cause_family,all,extra_trees,2
numeric__transaction_count,0.0014766923782833844,cause_family,all,extra_trees,2
numeric__uplink_success_count,0.001433823304957209,cause_family,all,extra_trees,2
numeric__client_energest_total_delta,0.0006170122570510669,cause_family,all,extra_trees,2
numeric__client_mac_reset_nodes,0.00023534839699791528,cause_family,all,extra_trees,2
numeric__client_mac_valid_nodes,0.00019731653545712114,cause_family,all,extra_trees,2
numeric__app_timeouts_delta,0.00018446726813315428,cause_family,all,extra_trees,2
numeric__parent_changes_delta,0.00011163863862829783,cause_family,all,extra_trees,2
numeric__uplink_delivery_ratio,8.706414365467348e-05,cause_family,all,extra_trees,2
numeric__queue_drops_delta,6.097574764724122e-05,cause_family,all,extra_trees,2
numeric__app_delivery_ratio,5.785541311053799e-05,cause_family,all,extra_trees,2
numeric__route_miss_delta,0.0,cause_family,all,extra_trees,2
numeric__reachable_fraction,0.0,cause_family,all,extra_trees,2
numeric__root_mean_rssi,0.0,cause_family,all,extra_trees,2
numeric__mean_neighbors,0.0,cause_family,all,extra_trees,2
numeric__client_mac_rx_delta,0.12057542930461664,cause_family,all,extra_trees,3
