feature,importance,task,feature_set,model,fold
numeric__root_mac_acked_delta,0.0004080664063588074,binary_attack,all,random_forest,2
numeric__root_server_rx_delta,0.00036134467320687993,binary_attack,all,random_forest,2
numeric__client_energest_total_delta,0.00018183291299501752,binary_attack,all,random_forest,2
numeric__client_mac_reset_nodes,0.00014718713563146983,binary_attack,all,random_forest,2
numeric__parent_changes_delta,8.210208021194664e-05,binary_attack,all,random_forest,2
numeric__client_mac_valid_nodes,2.424949305620539e-05,binary_attack,all,random_forest,2
numeric__queue_drops_delta,5.023042130726078e-06,binary_attack,all,random_forest,2
numeric__app_timeouts_delta,4.247104442549676e-06,binary_attack,all,random_forest,2
numeric__app_delivery_ratio,1.2088070349067265e-16,binary_attack,all,random_forest,2
numeric__uplink_delivery_ratio,8.557969019122582e-17,binary_attack,all,random_forest,2
numeric__route_miss_delta,0.0,binary_attack,all,random_forest,2
numeric__reachable_fraction,0.0,binary_attack,all,random_forest,2
numeric__root_mean_rssi,0.0,binary_attack,all,random_forest,2
numeric__mean_neighbors,0.0,binary_attack,all,random_forest,2
numeric__client_mac_rx_delta,0.14327712207577367,binary_attack,all,random_forest,3
numeric__mean_rank,0.12506839073832027,binary_attack,all,random_forest,3
numeric__mean_etx_x100,0.09551255067167443,binary_attack,all,random_forest,3
numeric__client_radio_tx_fraction,0.08884618392392575,binary_attack,all,random_forest,3
numeric__client_energest_listen_delta,0.08445400619146316,binary_attack,all,random_forest,3
numeric__client_energest_tx_delta,0.08039503414046055,binary_attack,all,random_forest,3
numeric__root_mac_rx_delta,0.06681535417378309,binary_attack,all,random_forest,3
numeric__root_mean_etx_x100,0.059057321535971374,binary_attack,all,random_forest,3
numeric__client_mac_ack_ratio,0.0578110455921156,binary_attack,all,random_forest,3
numeric__p95_etx_x100,0.04192862954834039,binary_attack,all,random_forest,3
numeric__client_mac_tx_attempts_delta,0.030618179144550173,binary_attack,all,random_forest,3
numeric__std_etx_x100,0.02335638143841173,binary_attack,all,random_forest,3
numeric__client_mac_acked_delta,0.022630643625495123,binary_attack,all,random_forest,3
numeric__root_mac_tx_attempts_delta,0.0188749697023444,binary_attack,all,random_forest,3
numeric__root_mac_ack_ratio,0.018580322807646273,binary_attack,all,random_forest,3
numeric__root_energest_tx_delta,0.012288748809630443,binary_attack,all,random_forest,3
numeric__root_radio_tx_fraction,0.009105912174401494,binary_attack,all,random_forest,3
numeric__mean_rtt_ms,0.006302656931505524,binary_attack,all,random_forest,3
numeric__mean_rssi,0.003873794371132805,binary_attack,all,random_forest,3
numeric__median_rtt_ms,0.002473059663241187,binary_attack,all,random_forest,3
numeric__max_rtt_ms,0.001765429912048329,binary_attack,all,random_forest,3
numeric__std_rtt_ms,0.0014856089984171513,binary_attack,all,random_forest,3
numeric__p95_rtt_ms,0.0012752248977396454,binary_attack,all,random_forest,3
numeric__app_rx_delta,0.0006481919125393645,binary_attack,all,random_forest,3
numeric__uplink_success_count,0.0006366540728517095,binary_attack,all,random_forest,3
numeric__transaction_success_count,0.0005224800699776483,binary_attack,all,random_forest,3
numeric__transaction_count,0.0004961303452577243,binary_attack,all,random_forest,3
