task,feature_set,model,true_class,predicted_class,count
seven_class,all,random_forest,UDP_Flood,RX60,0
seven_class,all,random_forest,UDP_Flood,RX75,0
seven_class,all,random_forest,UDP_Flood,RX90,0
seven_class,all,random_forest,UDP_Flood,UDP_Flood,340
seven_class,all,extra_trees,Clean,Clean,336
seven_class,all,extra_trees,Clean,DIO_Flood,0
seven_class,all,extra_trees,Clean,DIS_Flood,0
seven_class,all,extra_trees,Clean,RX60,0
seven_class,all,extra_trees,Clean,RX75,0
seven_class,all,extra_trees,Clean,RX90,4
seven_class,all,extra_trees,Clean,UDP_Flood,0
seven_class,all,extra_trees,DIO_Flood,Clean,0
seven_class,all,extra_trees,DIO_Flood,DIO_Flood,335
seven_class,all,extra_trees,DIO_Flood,DIS_Flood,5
seven_class,all,extra_trees,DIO_Flood,RX60,0
seven_class,all,extra_trees,DIO_Flood,RX75,0
seven_class,all,extra_trees,DIO_Flood,RX90,0
seven_class,all,extra_trees,DIO_Flood,UDP_Flood,0
seven_class,all,extra_trees,DIS_Flood,Clean,0
seven_class,all,extra_trees,DIS_Flood,DIO_Flood,2
seven_class,all,extra_trees,DIS_Flood,DIS_Flood,338
seven_class,all,extra_trees,DIS_Flood,RX60,0
seven_class,all,extra_trees,DIS_Flood,RX75,0
seven_class,all,extra_trees,DIS_Flood,RX90,0
seven_class,all,extra_trees,DIS_Flood,UDP_Flood,0
seven_class,all,extra_trees,RX60,Clean,0
seven_class,all,extra_trees,RX60,DIO_Flood,0
seven_class,all,extra_trees,RX60,DIS_Flood,0
seven_class,all,extra_trees,RX60,RX60,335
seven_class,all,extra_trees,RX60,RX75,5
seven_class,all,extra_trees,RX60,RX90,0
seven_class,all,extra_trees,RX60,UDP_Flood,0
seven_class,all,extra_trees,RX75,Clean,0
seven_class,all,extra_trees,RX75,DIO_Flood,0
seven_class,all,extra_trees,RX75,DIS_Flood,0
seven_class,all,extra_trees,RX75,RX60,9
seven_class,all,extra_trees,RX75,RX75,331
seven_class,all,extra_trees,RX75,RX90,0
seven_class,all,extra_trees,RX75,UDP_Flood,0
seven_class,all,extra_trees,RX90,Clean,0
seven_class,all,extra_trees,RX90,DIO_Flood,0
seven_class,all,extra_trees,RX90,DIS_Flood,0
seven_class,all,extra_trees,RX90,RX60,0
seven_class,all,extra_trees,RX90,RX75,10
seven_class,all,extra_trees,RX90,RX90,330
seven_class,all,extra_trees,RX90,UDP_Flood,0
seven_class,all,extra_trees,UDP_Flood,Clean,0
seven_class,all,extra_trees,UDP_Flood,DIO_Flood,0
seven_class,all,extra_trees,UDP_Flood,DIS_Flood,0
seven_class,all,extra_trees,UDP_Flood,RX60,0
seven_class,all,extra_trees,UDP_Flood,RX75,0
seven_class,all,extra_trees,UDP_Flood,RX90,0
seven_class,all,extra_trees,UDP_Flood,UDP_Flood,340
attack_subtype,all,logistic,dio_flood,dio_flood,277
attack_subtype,all,logistic,dio_flood,dis_flood,63
attack_subtype,all,logistic,dio_flood,udp_flood,0
attack_subtype,all,logistic,dis_flood,dio_flood,14
attack_subtype,all,logistic,dis_flood,dis_flood,326
attack_subtype,all,logistic,dis_flood,udp_flood,0
attack_subtype,all,logistic,udp_flood,dio_flood,0
attack_subtype,all,logistic,udp_flood,dis_flood,0
attack_subtype,all,logistic,udp_flood,udp_flood,340
attack_subtype,all,random_forest,dio_flood,dio_flood,338
attack_subtype,all,random_forest,dio_flood,dis_flood,2
attack_subtype,all,random_forest,dio_flood,udp_flood,0
attack_subtype,all,random_forest,dis_flood,dio_flood,9
attack_subtype,all,random_forest,dis_flood,dis_flood,331
attack_subtype,all,random_forest,dis_flood,udp_flood,0
attack_subtype,all,random_forest,udp_flood,dio_flood,0
attack_subtype,all,random_forest,udp_flood,dis_flood,0
attack_subtype,all,random_forest,udp_flood,udp_flood,340
attack_subtype,all,extra_trees,dio_flood,dio_flood,335
attack_subtype,all,extra_trees,dio_flood,dis_flood,5
attack_subtype,all,extra_trees,dio_flood,udp_flood,0
attack_subtype,all,extra_trees,dis_flood,dio_flood,1
attack_subtype,all,extra_trees,dis_flood,dis_flood,339
attack_subtype,all,extra_trees,dis_flood,udp_flood,0
attack_subtype,all,extra_trees,udp_flood,dio_flood,0
attack_subtype,all,extra_trees,udp_flood,dis_flood,0
attack_subtype,all,extra_trees,udp_flood,udp_flood,340
