timestamp_utc,status,run_id,scenario,class_label,impairment_level,tx_success,rx_success,seed,duration_s,warmup_s,analysis_s,source_csc,output_log,boot_count,final_metric_count,complete_marker,fallback_marker,test_ok,output_log_sha256
2026-07-18T15:57:56+00:00,completed,Clean_seed1001_600s,Clean,normal,clean,1.0,1.0,1001,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1001.log,16,16,True,False,True,53180e35073a13cf264d57c74bda16e8b8598fa07d949ebf471d719fc618a0c5
2026-07-18T15:58:04+00:00,completed,Clean_seed1002_600s,Clean,normal,clean,1.0,1.0,1002,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1002.log,16,16,True,False,True,6950f3de031fc594c771300246d4bd3181f6684cceb70808f1d1d73d3f18c478
2026-07-18T15:58:11+00:00,completed,Clean_seed1003_600s,Clean,normal,clean,1.0,1.0,1003,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1003.log,16,16,True,False,True,947d9a70bda6fe62b1c01f4fb282e2ff5d653474f1d8ebc635ff5e7596634009
2026-07-18T15:58:19+00:00,completed,Clean_seed1004_600s,Clean,normal,clean,1.0,1.0,1004,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1004.log,16,16,True,False,True,4e883defeabb9ed33bd72ac1693d8bf3c255ef20fac70fd20afa0321d59c16da
2026-07-18T15:58:26+00:00,completed,Clean_seed1005_600s,Clean,normal,clean,1.0,1.0,1005,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1005.log,16,16,True,False,True,7e8953ca629bc88d831dffd28d862fad506b6840defa18a4650a2b52d6c8e108
2026-07-18T15:58:34+00:00,completed,Clean_seed1006_600s,Clean,normal,clean,1.0,1.0,1006,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1006.log,16,16,True,False,True,c5f325ce6d5e75bae91447f97855946541b5db53c8de15b7f3ad5123024bc63c
2026-07-18T15:58:41+00:00,completed,Clean_seed1007_600s,Clean,normal,clean,1.0,1.0,1007,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1007.log,16,16,True,False,True,23466ed83e40490a4de5c44bf40dbc6388901da3ed28efd37d239fb86b2c47b2
2026-07-18T15:58:49+00:00,completed,Clean_seed1008_600s,Clean,normal,clean,1.0,1.0,1008,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1008.log,16,16,True,False,True,8418e22b41e03335b884f5a9e90e3f09eb23f32b1eefba618e5a6f35f8e4d66e
2026-07-18T15:58:56+00:00,completed,Clean_seed1009_600s,Clean,normal,clean,1.0,1.0,1009,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1009.log,16,16,True,False,True,8c9a96231787064eb8ab830e35b9add493ac558c4fd51479857db6702b3c5a89
2026-07-18T15:59:03+00:00,completed,Clean_seed1010_600s,Clean,normal,clean,1.0,1.0,1010,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/baseline/AirGuard_Baseline_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/Clean/AirGuard_Clean_N16_600s_seed1010.log,16,16,True,False,True,a6c34667a23d0a24715e9c27f1c5f45e94981b3e3b0958784d2857a68ce1581a
2026-07-18T15:59:11+00:00,completed,RX90_seed1001_600s,RX90,impairment,light,1.0,0.9,1001,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1001.log,16,16,True,False,True,00a89b22d4d74b41d7bc4501630e2a7749d47a911ac0ce505b95ed5ce7ea458f
2026-07-18T15:59:19+00:00,completed,RX90_seed1002_600s,RX90,impairment,light,1.0,0.9,1002,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1002.log,16,16,True,False,True,d0c9f174628406834427cf6e3ca420757461a836403b584750140712cd49beea
2026-07-18T15:59:26+00:00,completed,RX90_seed1003_600s,RX90,impairment,light,1.0,0.9,1003,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1003.log,16,16,True,False,True,a3a2dbba37345e456503fe8927ebb75a928939a2cc2afac73d9e4e003ebe1212
2026-07-18T15:59:34+00:00,completed,RX90_seed1004_600s,RX90,impairment,light,1.0,0.9,1004,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1004.log,16,16,True,False,True,a398dd696daff5dec5c3ae192fe494fe08ff67363e9c1b73a66c005509aa827d
