task,feature_set,model,configuration,seed,rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1001,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1002,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1003,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1004,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1005,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1006,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1007,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1008,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1009,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,extra_trees,attack_subtype__all__extra_trees,1010,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,logistic,attack_subtype__all__logistic,1001,102,0.9019607843137255,0.9019607843137255,0.8997936928971412,0.8997936928971412,0.8655109841347811
attack_subtype,all,logistic,attack_subtype__all__logistic,1002,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,logistic,attack_subtype__all__logistic,1003,102,0.7647058823529411,0.7647058823529411,0.7312252964426879,0.7312252964426879,0.708572289040914
attack_subtype,all,logistic,attack_subtype__all__logistic,1004,102,0.9509803921568627,0.9509803921568628,0.950713923316663,0.950713923316663,0.9298281066256509
attack_subtype,all,logistic,attack_subtype__all__logistic,1005,102,0.9607843137254902,0.9607843137254902,0.9606481481481483,0.9606481481481481,0.9433551227408428
attack_subtype,all,logistic,attack_subtype__all__logistic,1006,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,logistic,attack_subtype__all__logistic,1007,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,logistic,attack_subtype__all__logistic,1008,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,logistic,attack_subtype__all__logistic,1009,102,0.7156862745098039,0.7156862745098039,0.652480394748436,0.652480394748436,0.6589693305509565
attack_subtype,all,logistic,attack_subtype__all__logistic,1010,102,0.9509803921568627,0.9509803921568628,0.950713923316663,0.950713923316663,0.9298281066256509
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1001,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1002,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1003,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1004,102,0.9705882352941176,0.9705882352941176,0.9705818732424832,0.9705818732424834,0.9560201973939719
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1005,102,0.9803921568627451,0.9803921568627452,0.9803751803751805,0.9803751803751803,0.9711484594304012
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1006,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1007,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1008,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1009,102,0.9803921568627451,0.9803921568627452,0.9803751803751805,0.9803751803751803,0.9711484594304012
attack_subtype,all,random_forest,attack_subtype__all__random_forest,1010,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1001,102,0.4019607843137255,0.40196078431372556,0.4009607330290443,0.4009607330290442,0.10347966929808945
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1002,102,0.49019607843137253,0.4901960784313726,0.48194444444444445,0.48194444444444445,0.23918813815706186
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1003,102,0.4803921568627451,0.48039215686274517,0.4734894756883228,0.4734894756883228,0.22596238959804638
