task,feature_set,model,configuration,metric,point_estimate,ci_low_95,ci_high_95,bootstrap_iterations,cluster_unit,seed_count
binary_attack,all,extra_trees,binary_attack__all__extra_trees,mcc,1.0,1.0,1.0,5000,seed,10
binary_attack,all,logistic,binary_attack__all__logistic,accuracy,1.0,1.0,1.0,5000,seed,10
binary_attack,all,logistic,binary_attack__all__logistic,balanced_accuracy,1.0,1.0,1.0,5000,seed,10
binary_attack,all,logistic,binary_attack__all__logistic,macro_f1,1.0,1.0,1.0,5000,seed,10
binary_attack,all,logistic,binary_attack__all__logistic,weighted_f1,1.0,1.0,1.0,5000,seed,10
binary_attack,all,logistic,binary_attack__all__logistic,mcc,1.0,1.0,1.0,5000,seed,10
binary_attack,all,random_forest,binary_attack__all__random_forest,accuracy,0.9991596638655462,0.9978991596638656,1.0,5000,seed,10
binary_attack,all,random_forest,binary_attack__all__random_forest,balanced_accuracy,0.9991421568627451,0.9980392156862745,1.0,5000,seed,10
binary_attack,all,random_forest,binary_attack__all__random_forest,macro_f1,0.9991421568627451,0.9978561768499168,1.0,5000,seed,10
binary_attack,all,random_forest,binary_attack__all__random_forest,weighted_f1,0.9991596638655462,0.9978995423001914,1.0,5000,seed,10
binary_attack,all,random_forest,binary_attack__all__random_forest,mcc,0.9982843137254902,0.9957156555730902,1.0,5000,seed,10
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,accuracy,0.6436974789915967,0.623109243697479,0.6638655462184874,5000,seed,10
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,balanced_accuracy,0.6357843137254902,0.6151930147058824,0.6571078431372549,5000,seed,10
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,macro_f1,0.6359133627358164,0.6153039422198389,0.6569848140043834,5000,seed,10
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,weighted_f1,0.6435185337903144,0.6233400590114115,0.6638147529484973,5000,seed,10
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,mcc,0.27184154662633375,0.23099422048859128,0.3141700711202095,5000,seed,10
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,accuracy,1.0,1.0,1.0,5000,seed,10
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,balanced_accuracy,1.0,1.0,1.0,5000,seed,10
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,macro_f1,1.0,1.0,1.0,5000,seed,10
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,weighted_f1,1.0,1.0,1.0,5000,seed,10
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,mcc,1.0,1.0,1.0,5000,seed,10
binary_attack,radio,extra_trees,binary_attack__radio__extra_trees,accuracy,0.9411764705882353,0.9331932773109244,0.9483193277310924,5000,seed,10
binary_attack,radio,extra_trees,binary_attack__radio__extra_trees,balanced_accuracy,0.9404411764705882,0.9330882352941177,0.9477941176470588,5000,seed,10
binary_attack,radio,extra_trees,binary_attack__radio__extra_trees,macro_f1,0.940009103060472,0.9320327195587246,0.9472231582055874,5000,seed,10
binary_attack,radio,extra_trees,binary_attack__radio__extra_trees,weighted_f1,0.9412045999262536,0.9333014965225442,0.9483097402425312,5000,seed,10
