task,feature_set,model,fold,feature,mean_abs_shap,sample_count,test_seeds
cause_family,all,random_forest,1,app_rx_delta,0.0009559406209546016,200,"1001,1006"
cause_family,all,random_forest,1,app_timeouts_delta,1.027051128294813e-05,200,"1001,1006"
cause_family,all,random_forest,1,route_miss_delta,0.0,200,"1001,1006"
cause_family,all,random_forest,1,root_server_rx_delta,0.00036111411072178395,200,"1001,1006"
cause_family,all,random_forest,1,root_server_tx_delta,0.0004289416919983813,200,"1001,1006"
cause_family,all,random_forest,1,transaction_count,0.0003208437640183613,200,"1001,1006"
cause_family,all,random_forest,1,transaction_success_count,0.0003652736656957616,200,"1001,1006"
cause_family,all,random_forest,1,uplink_success_count,0.0003596672356074773,200,"1001,1006"
cause_family,all,random_forest,1,app_delivery_ratio,8.232362305494623e-07,200,"1001,1006"
cause_family,all,random_forest,1,uplink_delivery_ratio,6.942244978004804e-19,200,"1001,1006"
cause_family,all,random_forest,1,mean_rtt_ms,0.0018269315197117315,200,"1001,1006"
cause_family,all,random_forest,1,median_rtt_ms,0.0008332082551003024,200,"1001,1006"
cause_family,all,random_forest,1,p95_rtt_ms,0.0007501521404375644,200,"1001,1006"
cause_family,all,random_forest,1,max_rtt_ms,0.0008046572639233943,200,"1001,1006"
cause_family,all,random_forest,1,std_rtt_ms,0.0009004823037902974,200,"1001,1006"
cause_family,all,random_forest,1,mean_etx_x100,0.06333684976559113,200,"1001,1006"
cause_family,all,random_forest,1,std_etx_x100,0.013173460109945535,200,"1001,1006"
cause_family,all,random_forest,1,p95_etx_x100,0.024625928690460135,200,"1001,1006"
cause_family,all,random_forest,1,mean_rank,0.09233129559946968,200,"1001,1006"
cause_family,all,random_forest,1,mean_neighbors,0.0,200,"1001,1006"
cause_family,all,random_forest,1,mean_rssi,0.021738348494642006,200,"1001,1006"
cause_family,all,random_forest,1,parent_changes_delta,1.9576680648959528e-05,200,"1001,1006"
cause_family,all,random_forest,1,root_mean_etx_x100,0.0381945082023326,200,"1001,1006"
cause_family,all,random_forest,1,root_mean_rssi,0.0,200,"1001,1006"
cause_family,all,random_forest,1,queue_drops_delta,4.585938726249242e-19,200,"1001,1006"
cause_family,all,random_forest,1,client_mac_tx_attempts_delta,0.007702666723886428,200,"1001,1006"
cause_family,all,random_forest,1,client_mac_acked_delta,0.007080214108658442,200,"1001,1006"
cause_family,all,random_forest,1,client_mac_rx_delta,0.05295786831449538,200,"1001,1006"
cause_family,all,random_forest,1,client_mac_ack_ratio,0.01789610083393631,200,"1001,1006"
cause_family,all,random_forest,1,client_mac_valid_nodes,4.080555092692213e-05,200,"1001,1006"
cause_family,all,random_forest,1,client_mac_reset_nodes,6.117877656435942e-06,200,"1001,1006"
cause_family,all,random_forest,1,root_mac_tx_attempts_delta,0.005112782128633719,200,"1001,1006"
cause_family,all,random_forest,1,root_mac_acked_delta,0.00044709563613475826,200,"1001,1006"
cause_family,all,random_forest,1,root_mac_rx_delta,0.018330046908530212,200,"1001,1006"
cause_family,all,random_forest,1,root_mac_ack_ratio,0.005364593057856081,200,"1001,1006"
cause_family,all,random_forest,1,client_energest_tx_delta,0.05214569132048065,200,"1001,1006"
cause_family,all,random_forest,1,client_energest_listen_delta,0.04927806842518118,200,"1001,1006"
cause_family,all,random_forest,1,client_energest_total_delta,0.0002502401930439621,200,"1001,1006"
cause_family,all,random_forest,1,client_radio_tx_fraction,0.04541966330277635,200,"1001,1006"
