task,feature_set,model,output_class,feature,mean_abs_shap,sd_abs_shap,folds,explained_samples
binary_attack,mac,extra_trees,benign,client_mac_tx_attempts_delta,0.03580511871091059,0.0025946710439230815,5,1000
binary_attack,mac,extra_trees,benign,root_mac_tx_attempts_delta,0.01794527281799557,0.0006219234657073821,5,1000
binary_attack,mac,extra_trees,benign,root_mac_acked_delta,0.001814037506345957,0.00029209581265595845,5,1000
binary_attack,mac,extra_trees,benign,client_mac_reset_nodes,0.0006374227146876529,0.00012323514362733439,5,1000
binary_attack,mac,extra_trees,benign,client_mac_valid_nodes,0.0005486097036056284,0.00010094056535828285,5,1000
binary_attack,mac,extra_trees,benign,queue_drops_delta,0.00013869954952954632,0.00015588788262693942,5,1000
cause_family,all,random_forest,attack,client_mac_rx_delta,0.08011583148112322,0.0011563756243755054,5,1000
cause_family,all,random_forest,attack,mean_rank,0.07692191157895951,0.00390086063210643,5,1000
cause_family,all,random_forest,attack,client_energest_listen_delta,0.07120612591236866,0.0035206671376501694,5,1000
cause_family,all,random_forest,attack,client_energest_tx_delta,0.06796390143663425,0.003960526459980658,5,1000
cause_family,all,random_forest,attack,client_radio_tx_fraction,0.065593687082612,0.003548068099027142,5,1000
cause_family,all,random_forest,attack,mean_etx_x100,0.04320234694775732,0.0015730592400434388,5,1000
cause_family,all,random_forest,attack,root_mac_rx_delta,0.028529786726820015,0.0015984017564236444,5,1000
cause_family,all,random_forest,attack,root_mean_etx_x100,0.022963231531965687,0.0030264433728996614,5,1000
cause_family,all,random_forest,attack,client_mac_ack_ratio,0.020480639698443343,0.0035827988222071395,5,1000
cause_family,all,random_forest,attack,p95_etx_x100,0.019730687121991598,0.000672580679516158,5,1000
cause_family,all,random_forest,attack,std_etx_x100,0.012219144276617099,0.0007998252723955591,5,1000
cause_family,all,random_forest,attack,client_mac_acked_delta,0.011941586902061489,0.001325023802288879,5,1000
cause_family,all,random_forest,attack,client_mac_tx_attempts_delta,0.01124104730594553,0.0021119557071203497,5,1000
cause_family,all,random_forest,attack,root_energest_tx_delta,0.008837589791447763,0.0013518776540631132,5,1000
cause_family,all,random_forest,attack,root_radio_tx_fraction,0.006076690980507905,0.0008885029399523987,5,1000
cause_family,all,random_forest,attack,mean_rssi,0.005284660565218656,0.005389912390242821,5,1000
cause_family,all,random_forest,attack,root_mac_ack_ratio,0.0051485175998372875,0.0005284045792921372,5,1000
cause_family,all,random_forest,attack,root_mac_tx_attempts_delta,0.005123796612393497,0.0003751218450151835,5,1000
cause_family,all,random_forest,attack,mean_rtt_ms,0.001483209112056332,0.000222233843823131,5,1000
cause_family,all,random_forest,attack,app_rx_delta,0.0011263449047297148,0.00013166516460961592,5,1000
cause_family,all,random_forest,attack,app_tx_delta,0.0008831474781326396,0.00027969693731670354,5,1000
cause_family,all,random_forest,attack,p95_rtt_ms,0.0007766092309403723,0.00021478881552542615,5,1000
cause_family,all,random_forest,attack,median_rtt_ms,0.000739465312038008,0.00012211482300589094,5,1000
cause_family,all,random_forest,attack,std_rtt_ms,0.0006972795207118307,0.00016441822425039006,5,1000
cause_family,all,random_forest,attack,max_rtt_ms,0.0006224888203771324,0.00012776239753398507,5,1000
cause_family,all,random_forest,attack,root_server_rx_delta,0.0005767117830246072,0.00024456952755161235,5,1000
cause_family,all,random_forest,attack,root_server_tx_delta,0.0005663594374398734,0.0002086498854144129,5,1000
cause_family,all,random_forest,attack,root_mac_acked_delta,0.0005133303740878026,7.946906741592032e-05,5,1000
cause_family,all,random_forest,attack,transaction_success_count,0.00043950736805560076,0.0001809780834643107,5,1000
cause_family,all,random_forest,attack,uplink_success_count,0.0004301504361990464,0.00016869971911967705,5,1000
cause_family,all,random_forest,attack,transaction_count,0.000390366341778544,0.0002029620211152796,5,1000
cause_family,all,random_forest,attack,client_energest_total_delta,0.00020214407622535556,0.00010988520960809138,5,1000
cause_family,all,random_forest,attack,client_mac_valid_nodes,3.745665746035838e-05,1.0513418380156733e-05,5,1000
cause_family,all,random_forest,attack,parent_changes_delta,2.9436849327216366e-05,2.54028995174958e-05,5,1000
cause_family,all,random_forest,attack,client_mac_reset_nodes,1.467315540953579e-05,3.968529832918978e-06,5,1000
cause_family,all,random_forest,attack,app_delivery_ratio,3.465287503962285e-06,3.98636245175414e-06,5,1000
cause_family,all,random_forest,attack,app_timeouts_delta,3.1291158034833315e-06,3.0670344274715984e-06,5,1000
cause_family,all,random_forest,attack,queue_drops_delta,4.968898738094845e-07,1.1110795351690475e-06,5,1000
cause_family,all,random_forest,attack,uplink_delivery_ratio,2.6589094780229497e-19,2.8639724313282943e-19,5,1000
cause_family,all,random_forest,attack,mean_neighbors,0.0,0.0,5,1000
cause_family,all,random_forest,attack,reachable_fraction,0.0,0.0,5,1000
cause_family,all,random_forest,attack,root_mean_rssi,0.0,0.0,5,1000
cause_family,all,random_forest,attack,route_miss_delta,0.0,0.0,5,1000
cause_family,all,random_forest,impairment,mean_rank,0.14062107272444968,0.0021716755753566496,5,1000
cause_family,all,random_forest,impairment,mean_etx_x100,0.08931347041590863,0.003646992487041926,5,1000
cause_family,all,random_forest,impairment,root_mean_etx_x100,0.05584356540882809,0.005359128177955877,5,1000
cause_family,all,random_forest,impairment,p95_etx_x100,0.04029290645618768,0.002138879280820258,5,1000
cause_family,all,random_forest,impairment,client_mac_ack_ratio,0.028832653061213253,0.004520326537002139,5,1000
cause_family,all,random_forest,impairment,std_etx_x100,0.024145714921958956,0.0031137690145507722,5,1000
cause_family,all,random_forest,impairment,client_mac_rx_delta,0.019124629361296386,0.0012446397124305185,5,1000
cause_family,all,random_forest,impairment,mean_rssi,0.01207732764750351,0.01362300736228793,5,1000
cause_family,all,random_forest,impairment,root_mac_rx_delta,0.01024237462680895,0.00098525068470816,5,1000
cause_family,all,random_forest,impairment,client_mac_tx_attempts_delta,0.008837001093164775,0.0014232591441779793,5,1000
cause_family,all,random_forest,impairment,root_mac_ack_ratio,0.008629128187758656,0.0007252886333341553,5,1000
cause_family,all,random_forest,impairment,root_mac_tx_attempts_delta,0.007661385636659227,0.0004850590482995332,5,1000
cause_family,all,random_forest,impairment,client_energest_tx_delta,0.007532565304688379,0.0010266218967769365,5,1000
cause_family,all,random_forest,impairment,client_energest_listen_delta,0.006712800965651683,0.0007779822347463612,5,1000
