task,feature_set,model,true_class,predicted_class,count
seven_class,application_qos,extra_trees,UDP_Flood,DIO_Flood,42
seven_class,application_qos,extra_trees,UDP_Flood,DIS_Flood,46
seven_class,application_qos,extra_trees,UDP_Flood,RX60,27
seven_class,application_qos,extra_trees,UDP_Flood,RX75,66
seven_class,application_qos,extra_trees,UDP_Flood,RX90,58
seven_class,application_qos,extra_trees,UDP_Flood,UDP_Flood,61
seven_class,routing,extra_trees,Clean,Clean,107
seven_class,routing,extra_trees,Clean,DIO_Flood,75
seven_class,routing,extra_trees,Clean,DIS_Flood,110
seven_class,routing,extra_trees,Clean,RX60,0
seven_class,routing,extra_trees,Clean,RX75,0
seven_class,routing,extra_trees,Clean,RX90,0
seven_class,routing,extra_trees,Clean,UDP_Flood,48
seven_class,routing,extra_trees,DIO_Flood,Clean,86
seven_class,routing,extra_trees,DIO_Flood,DIO_Flood,50
seven_class,routing,extra_trees,DIO_Flood,DIS_Flood,119
seven_class,routing,extra_trees,DIO_Flood,RX60,0
seven_class,routing,extra_trees,DIO_Flood,RX75,0
seven_class,routing,extra_trees,DIO_Flood,RX90,0
seven_class,routing,extra_trees,DIO_Flood,UDP_Flood,85
seven_class,routing,extra_trees,DIS_Flood,Clean,63
seven_class,routing,extra_trees,DIS_Flood,DIO_Flood,85
seven_class,routing,extra_trees,DIS_Flood,DIS_Flood,117
seven_class,routing,extra_trees,DIS_Flood,RX60,0
seven_class,routing,extra_trees,DIS_Flood,RX75,0
seven_class,routing,extra_trees,DIS_Flood,RX90,1
seven_class,routing,extra_trees,DIS_Flood,UDP_Flood,74
seven_class,routing,extra_trees,RX60,Clean,0
seven_class,routing,extra_trees,RX60,DIO_Flood,0
seven_class,routing,extra_trees,RX60,DIS_Flood,0
seven_class,routing,extra_trees,RX60,RX60,335
seven_class,routing,extra_trees,RX60,RX75,5
seven_class,routing,extra_trees,RX60,RX90,0
seven_class,routing,extra_trees,RX60,UDP_Flood,0
seven_class,routing,extra_trees,RX75,Clean,0
seven_class,routing,extra_trees,RX75,DIO_Flood,0
seven_class,routing,extra_trees,RX75,DIS_Flood,0
seven_class,routing,extra_trees,RX75,RX60,4
seven_class,routing,extra_trees,RX75,RX75,336
seven_class,routing,extra_trees,RX75,RX90,0
seven_class,routing,extra_trees,RX75,UDP_Flood,0
seven_class,routing,extra_trees,RX90,Clean,0
seven_class,routing,extra_trees,RX90,DIO_Flood,0
seven_class,routing,extra_trees,RX90,DIS_Flood,0
seven_class,routing,extra_trees,RX90,RX60,0
seven_class,routing,extra_trees,RX90,RX75,9
seven_class,routing,extra_trees,RX90,RX90,328
seven_class,routing,extra_trees,RX90,UDP_Flood,3
seven_class,routing,extra_trees,UDP_Flood,Clean,6
seven_class,routing,extra_trees,UDP_Flood,DIO_Flood,38
seven_class,routing,extra_trees,UDP_Flood,DIS_Flood,29
seven_class,routing,extra_trees,UDP_Flood,RX60,0
seven_class,routing,extra_trees,UDP_Flood,RX75,0
seven_class,routing,extra_trees,UDP_Flood,RX90,14
seven_class,routing,extra_trees,UDP_Flood,UDP_Flood,253
seven_class,mac,extra_trees,Clean,Clean,294
seven_class,mac,extra_trees,Clean,DIO_Flood,0
seven_class,mac,extra_trees,Clean,DIS_Flood,0
seven_class,mac,extra_trees,Clean,RX60,0
seven_class,mac,extra_trees,Clean,RX75,0
seven_class,mac,extra_trees,Clean,RX90,46
seven_class,mac,extra_trees,Clean,UDP_Flood,0
seven_class,mac,extra_trees,DIO_Flood,Clean,0
seven_class,mac,extra_trees,DIO_Flood,DIO_Flood,339
seven_class,mac,extra_trees,DIO_Flood,DIS_Flood,1
seven_class,mac,extra_trees,DIO_Flood,RX60,0
seven_class,mac,extra_trees,DIO_Flood,RX75,0
seven_class,mac,extra_trees,DIO_Flood,RX90,0
seven_class,mac,extra_trees,DIO_Flood,UDP_Flood,0
seven_class,mac,extra_trees,DIS_Flood,Clean,0
seven_class,mac,extra_trees,DIS_Flood,DIO_Flood,4
seven_class,mac,extra_trees,DIS_Flood,DIS_Flood,336
seven_class,mac,extra_trees,DIS_Flood,RX60,0
seven_class,mac,extra_trees,DIS_Flood,RX75,0
seven_class,mac,extra_trees,DIS_Flood,RX90,0
seven_class,mac,extra_trees,DIS_Flood,UDP_Flood,0
seven_class,mac,extra_trees,RX60,Clean,0
seven_class,mac,extra_trees,RX60,DIO_Flood,0
seven_class,mac,extra_trees,RX60,DIS_Flood,0
seven_class,mac,extra_trees,RX60,RX60,271
seven_class,mac,extra_trees,RX60,RX75,65
seven_class,mac,extra_trees,RX60,RX90,4
seven_class,mac,extra_trees,RX60,UDP_Flood,0
seven_class,mac,extra_trees,RX75,Clean,0
seven_class,mac,extra_trees,RX75,DIO_Flood,0
seven_class,mac,extra_trees,RX75,DIS_Flood,0
seven_class,mac,extra_trees,RX75,RX60,80
seven_class,mac,extra_trees,RX75,RX75,211
seven_class,mac,extra_trees,RX75,RX90,49
seven_class,mac,extra_trees,RX75,UDP_Flood,0
seven_class,mac,extra_trees,RX90,Clean,36
seven_class,mac,extra_trees,RX90,DIO_Flood,0
seven_class,mac,extra_trees,RX90,DIS_Flood,0
seven_class,mac,extra_trees,RX90,RX60,4
seven_class,mac,extra_trees,RX90,RX75,49
seven_class,mac,extra_trees,RX90,RX90,251
seven_class,mac,extra_trees,RX90,UDP_Flood,0
seven_class,mac,extra_trees,UDP_Flood,Clean,0
seven_class,mac,extra_trees,UDP_Flood,DIO_Flood,0
seven_class,mac,extra_trees,UDP_Flood,DIS_Flood,0
seven_class,mac,extra_trees,UDP_Flood,RX60,0
seven_class,mac,extra_trees,UDP_Flood,RX75,0
seven_class,mac,extra_trees,UDP_Flood,RX90,0
seven_class,mac,extra_trees,UDP_Flood,UDP_Flood,340
seven_class,radio,extra_trees,Clean,Clean,276
seven_class,radio,extra_trees,Clean,DIO_Flood,4
seven_class,radio,extra_trees,Clean,DIS_Flood,0
seven_class,radio,extra_trees,Clean,RX60,0
seven_class,radio,extra_trees,Clean,RX75,3
seven_class,radio,extra_trees,Clean,RX90,57
seven_class,radio,extra_trees,Clean,UDP_Flood,0
seven_class,radio,extra_trees,DIO_Flood,Clean,3
seven_class,radio,extra_trees,DIO_Flood,DIO_Flood,179
seven_class,radio,extra_trees,DIO_Flood,DIS_Flood,127
seven_class,radio,extra_trees,DIO_Flood,RX60,5
seven_class,radio,extra_trees,DIO_Flood,RX75,11
seven_class,radio,extra_trees,DIO_Flood,RX90,15
seven_class,radio,extra_trees,DIO_Flood,UDP_Flood,0
seven_class,radio,extra_trees,DIS_Flood,Clean,0
seven_class,radio,extra_trees,DIS_Flood,DIO_Flood,129
seven_class,radio,extra_trees,DIS_Flood,DIS_Flood,182
seven_class,radio,extra_trees,DIS_Flood,RX60,9
seven_class,radio,extra_trees,DIS_Flood,RX75,10
seven_class,radio,extra_trees,DIS_Flood,RX90,10
seven_class,radio,extra_trees,DIS_Flood,UDP_Flood,0
seven_class,radio,extra_trees,RX60,Clean,0
seven_class,radio,extra_trees,RX60,DIO_Flood,2
seven_class,radio,extra_trees,RX60,DIS_Flood,9
seven_class,radio,extra_trees,RX60,RX60,251
seven_class,radio,extra_trees,RX60,RX75,69
seven_class,radio,extra_trees,RX60,RX90,5
seven_class,radio,extra_trees,RX60,UDP_Flood,4
seven_class,radio,extra_trees,RX75,Clean,3
seven_class,radio,extra_trees,RX75,DIO_Flood,17
seven_class,radio,extra_trees,RX75,DIS_Flood,15
seven_class,radio,extra_trees,RX75,RX60,65
seven_class,radio,extra_trees,RX75,RX75,189
seven_class,radio,extra_trees,RX75,RX90,51
seven_class,radio,extra_trees,RX75,UDP_Flood,0
seven_class,radio,extra_trees,RX90,Clean,79
seven_class,radio,extra_trees,RX90,DIO_Flood,16
seven_class,radio,extra_trees,RX90,DIS_Flood,12
seven_class,radio,extra_trees,RX90,RX60,5
seven_class,radio,extra_trees,RX90,RX75,53
seven_class,radio,extra_trees,RX90,RX90,175
seven_class,radio,extra_trees,RX90,UDP_Flood,0
seven_class,radio,extra_trees,UDP_Flood,Clean,0
seven_class,radio,extra_trees,UDP_Flood,DIO_Flood,0
seven_class,radio,extra_trees,UDP_Flood,DIS_Flood,0
seven_class,radio,extra_trees,UDP_Flood,RX60,3
seven_class,radio,extra_trees,UDP_Flood,RX75,0
seven_class,radio,extra_trees,UDP_Flood,RX90,0
seven_class,radio,extra_trees,UDP_Flood,UDP_Flood,337
seven_class,all,extra_trees,Clean,Clean,336
seven_class,all,extra_trees,Clean,DIO_Flood,0
seven_class,all,extra_trees,Clean,DIS_Flood,0
seven_class,all,extra_trees,Clean,RX60,0
seven_class,all,extra_trees,Clean,RX75,0
seven_class,all,extra_trees,Clean,RX90,4
seven_class,all,extra_trees,Clean,UDP_Flood,0
seven_class,all,extra_trees,DIO_Flood,Clean,0
seven_class,all,extra_trees,DIO_Flood,DIO_Flood,335
seven_class,all,extra_trees,DIO_Flood,DIS_Flood,5
seven_class,all,extra_trees,DIO_Flood,RX60,0
seven_class,all,extra_trees,DIO_Flood,RX75,0
seven_class,all,extra_trees,DIO_Flood,RX90,0
seven_class,all,extra_trees,DIO_Flood,UDP_Flood,0
seven_class,all,extra_trees,DIS_Flood,Clean,0
seven_class,all,extra_trees,DIS_Flood,DIO_Flood,2
seven_class,all,extra_trees,DIS_Flood,DIS_Flood,338
seven_class,all,extra_trees,DIS_Flood,RX60,0
seven_class,all,extra_trees,DIS_Flood,RX75,0
seven_class,all,extra_trees,DIS_Flood,RX90,0
seven_class,all,extra_trees,DIS_Flood,UDP_Flood,0
seven_class,all,extra_trees,RX60,Clean,0
seven_class,all,extra_trees,RX60,DIO_Flood,0
seven_class,all,extra_trees,RX60,DIS_Flood,0
seven_class,all,extra_trees,RX60,RX60,335
seven_class,all,extra_trees,RX60,RX75,5
seven_class,all,extra_trees,RX60,RX90,0
seven_class,all,extra_trees,RX60,UDP_Flood,0
seven_class,all,extra_trees,RX75,Clean,0
seven_class,all,extra_trees,RX75,DIO_Flood,0
seven_class,all,extra_trees,RX75,DIS_Flood,0
seven_class,all,extra_trees,RX75,RX60,9
seven_class,all,extra_trees,RX75,RX75,331
seven_class,all,extra_trees,RX75,RX90,0
seven_class,all,extra_trees,RX75,UDP_Flood,0
seven_class,all,extra_trees,RX90,Clean,0
seven_class,all,extra_trees,RX90,DIO_Flood,0
seven_class,all,extra_trees,RX90,DIS_Flood,0
seven_class,all,extra_trees,RX90,RX60,0
seven_class,all,extra_trees,RX90,RX75,10
seven_class,all,extra_trees,RX90,RX90,330
seven_class,all,extra_trees,RX90,UDP_Flood,0
seven_class,all,extra_trees,UDP_Flood,Clean,0
seven_class,all,extra_trees,UDP_Flood,DIO_Flood,0
seven_class,all,extra_trees,UDP_Flood,DIS_Flood,0
seven_class,all,extra_trees,UDP_Flood,RX60,0
seven_class,all,extra_trees,UDP_Flood,RX75,0
seven_class,all,extra_trees,UDP_Flood,RX90,0
seven_class,all,extra_trees,UDP_Flood,UDP_Flood,340
attack_subtype,application_qos,extra_trees,dio_flood,dio_flood,127
attack_subtype,application_qos,extra_trees,dio_flood,dis_flood,135
attack_subtype,application_qos,extra_trees,dio_flood,udp_flood,78
attack_subtype,application_qos,extra_trees,dis_flood,dio_flood,130
attack_subtype,application_qos,extra_trees,dis_flood,dis_flood,125
attack_subtype,application_qos,extra_trees,dis_flood,udp_flood,85
attack_subtype,application_qos,extra_trees,udp_flood,dio_flood,74
attack_subtype,application_qos,extra_trees,udp_flood,dis_flood,73
attack_subtype,application_qos,extra_trees,udp_flood,udp_flood,193
attack_subtype,routing,extra_trees,dio_flood,dio_flood,72
attack_subtype,routing,extra_trees,dio_flood,dis_flood,178
