feature,importance,task,feature_set,model,fold
numeric__mean_rtt_ms,0.18864614974260524,binary_attack,application_qos,extra_trees,5
numeric__p95_rtt_ms,0.14912086260559948,binary_attack,application_qos,extra_trees,5
numeric__std_rtt_ms,0.13136947204176974,binary_attack,application_qos,extra_trees,5
numeric__median_rtt_ms,0.13081378927077,binary_attack,application_qos,extra_trees,5
numeric__max_rtt_ms,0.1278422232423973,binary_attack,application_qos,extra_trees,5
numeric__app_rx_delta,0.055211688396831396,binary_attack,application_qos,extra_trees,5
numeric__app_tx_delta,0.05422918344083933,binary_attack,application_qos,extra_trees,5
numeric__root_server_tx_delta,0.040747735474524864,binary_attack,application_qos,extra_trees,5
numeric__root_server_rx_delta,0.0404236099079429,binary_attack,application_qos,extra_trees,5
numeric__uplink_success_count,0.025179248689951878,binary_attack,application_qos,extra_trees,5
numeric__transaction_count,0.025138257005435805,binary_attack,application_qos,extra_trees,5
numeric__transaction_success_count,0.025033723596571147,binary_attack,application_qos,extra_trees,5
numeric__app_timeouts_delta,0.003280225181841006,binary_attack,application_qos,extra_trees,5
numeric__app_delivery_ratio,0.002467787946589047,binary_attack,application_qos,extra_trees,5
numeric__uplink_delivery_ratio,0.0004960434563308938,binary_attack,application_qos,extra_trees,5
numeric__reachable_fraction,0.0,binary_attack,application_qos,extra_trees,5
numeric__route_miss_delta,0.0,binary_attack,application_qos,extra_trees,5
numeric__mean_rank,0.29745150841855966,binary_attack,routing,extra_trees,1
numeric__mean_etx_x100,0.21070641242860438,binary_attack,routing,extra_trees,1
numeric__root_mean_etx_x100,0.14488942268795116,binary_attack,routing,extra_trees,1
numeric__p95_etx_x100,0.13902817072500323,binary_attack,routing,extra_trees,1
numeric__std_etx_x100,0.11413723732248152,binary_attack,routing,extra_trees,1
numeric__mean_rssi,0.09343240965443325,binary_attack,routing,extra_trees,1
numeric__parent_changes_delta,0.0003548387629669493,binary_attack,routing,extra_trees,1
numeric__mean_neighbors,0.0,binary_attack,routing,extra_trees,1
numeric__root_mean_rssi,0.0,binary_attack,routing,extra_trees,1
numeric__mean_rank,0.3156886012089133,binary_attack,routing,extra_trees,2
numeric__mean_etx_x100,0.21676260722578594,binary_attack,routing,extra_trees,2
numeric__root_mean_etx_x100,0.13787419670927417,binary_attack,routing,extra_trees,2
numeric__p95_etx_x100,0.13777912513646887,binary_attack,routing,extra_trees,2
numeric__std_etx_x100,0.12192638040761154,binary_attack,routing,extra_trees,2
numeric__mean_rssi,0.0694663986983279,binary_attack,routing,extra_trees,2
numeric__parent_changes_delta,0.0005026906136183664,binary_attack,routing,extra_trees,2
numeric__mean_neighbors,0.0,binary_attack,routing,extra_trees,2
numeric__root_mean_rssi,0.0,binary_attack,routing,extra_trees,2
numeric__mean_rank,0.30875350879861996,binary_attack,routing,extra_trees,3
numeric__mean_etx_x100,0.20249299728487472,binary_attack,routing,extra_trees,3
numeric__root_mean_etx_x100,0.14518600885939698,binary_attack,routing,extra_trees,3
numeric__p95_etx_x100,0.14087665416550235,binary_attack,routing,extra_trees,3
numeric__std_etx_x100,0.12103331678719273,binary_attack,routing,extra_trees,3
numeric__mean_rssi,0.08120686763930436,binary_attack,routing,extra_trees,3
numeric__parent_changes_delta,0.0004506464651089524,binary_attack,routing,extra_trees,3
numeric__mean_neighbors,0.0,binary_attack,routing,extra_trees,3
numeric__root_mean_rssi,0.0,binary_attack,routing,extra_trees,3
numeric__mean_rank,0.29793202384025397,binary_attack,routing,extra_trees,4
numeric__mean_etx_x100,0.21650039265426446,binary_attack,routing,extra_trees,4
numeric__root_mean_etx_x100,0.15251009700648155,binary_attack,routing,extra_trees,4
numeric__p95_etx_x100,0.13960596894980618,binary_attack,routing,extra_trees,4
numeric__std_etx_x100,0.12029499645416265,binary_attack,routing,extra_trees,4
numeric__mean_rssi,0.07267986261017495,binary_attack,routing,extra_trees,4
numeric__parent_changes_delta,0.0004766584848561383,binary_attack,routing,extra_trees,4
numeric__mean_neighbors,0.0,binary_attack,routing,extra_trees,4
numeric__root_mean_rssi,0.0,binary_attack,routing,extra_trees,4
numeric__mean_rank,0.28210958154512444,binary_attack,routing,extra_trees,5
numeric__mean_etx_x100,0.22012849767953027,binary_attack,routing,extra_trees,5
numeric__root_mean_etx_x100,0.152291019247803,binary_attack,routing,extra_trees,5
numeric__p95_etx_x100,0.14328969384202142,binary_attack,routing,extra_trees,5
numeric__std_etx_x100,0.1256613091085191,binary_attack,routing,extra_trees,5
numeric__mean_rssi,0.07607777109396767,binary_attack,routing,extra_trees,5
numeric__parent_changes_delta,0.0004421274830341583,binary_attack,routing,extra_trees,5
numeric__mean_neighbors,0.0,binary_attack,routing,extra_trees,5
numeric__root_mean_rssi,0.0,binary_attack,routing,extra_trees,5
numeric__client_mac_rx_delta,0.4463874594054809,binary_attack,mac,extra_trees,1
numeric__root_mac_rx_delta,0.1609605791948187,binary_attack,mac,extra_trees,1
numeric__client_mac_ack_ratio,0.11495282940522801,binary_attack,mac,extra_trees,1
numeric__root_mac_ack_ratio,0.08422211311235228,binary_attack,mac,extra_trees,1
numeric__client_mac_acked_delta,0.08152308441059489,binary_attack,mac,extra_trees,1
numeric__client_mac_tx_attempts_delta,0.072336756131462,binary_attack,mac,extra_trees,1
numeric__root_mac_tx_attempts_delta,0.03424957338853123,binary_attack,mac,extra_trees,1
numeric__root_mac_acked_delta,0.004075086596635706,binary_attack,mac,extra_trees,1
numeric__client_mac_reset_nodes,0.0006676262840737391,binary_attack,mac,extra_trees,1
numeric__client_mac_valid_nodes,0.0004472527576158005,binary_attack,mac,extra_trees,1
numeric__queue_drops_delta,0.00017763931320690258,binary_attack,mac,extra_trees,1
numeric__client_mac_rx_delta,0.45897904933939804,binary_attack,mac,extra_trees,2
numeric__root_mac_rx_delta,0.15344516426736637,binary_attack,mac,extra_trees,2
numeric__client_mac_ack_ratio,0.10964508113102357,binary_attack,mac,extra_trees,2
numeric__root_mac_ack_ratio,0.08293272865781186,binary_attack,mac,extra_trees,2
numeric__client_mac_acked_delta,0.08124430711044793,binary_attack,mac,extra_trees,2
numeric__client_mac_tx_attempts_delta,0.07587503059904067,binary_attack,mac,extra_trees,2
numeric__root_mac_tx_attempts_delta,0.03239659106457839,binary_attack,mac,extra_trees,2
numeric__root_mac_acked_delta,0.0035986982942314465,binary_attack,mac,extra_trees,2
numeric__client_mac_reset_nodes,0.000974534082831349,binary_attack,mac,extra_trees,2
numeric__client_mac_valid_nodes,0.0007625231212781127,binary_attack,mac,extra_trees,2
numeric__queue_drops_delta,0.0001462923319923547,binary_attack,mac,extra_trees,2
numeric__client_mac_rx_delta,0.45289989880268267,binary_attack,mac,extra_trees,3
numeric__root_mac_rx_delta,0.1573496045593927,binary_attack,mac,extra_trees,3
numeric__client_mac_ack_ratio,0.11812598916321235,binary_attack,mac,extra_trees,3
numeric__root_mac_ack_ratio,0.08176388122526312,binary_attack,mac,extra_trees,3
numeric__client_mac_tx_attempts_delta,0.0782753333399835,binary_attack,mac,extra_trees,3
numeric__client_mac_acked_delta,0.07359560175363306,binary_attack,mac,extra_trees,3
numeric__root_mac_tx_attempts_delta,0.0321903886191361,binary_attack,mac,extra_trees,3
numeric__root_mac_acked_delta,0.004052387357994901,binary_attack,mac,extra_trees,3
numeric__client_mac_reset_nodes,0.00086080033753221,binary_attack,mac,extra_trees,3
numeric__client_mac_valid_nodes,0.0007128221631797394,binary_attack,mac,extra_trees,3
numeric__queue_drops_delta,0.00017329267798976328,binary_attack,mac,extra_trees,3
numeric__client_mac_rx_delta,0.4389324399566021,binary_attack,mac,extra_trees,4
numeric__root_mac_rx_delta,0.1617092122534707,binary_attack,mac,extra_trees,4
numeric__client_mac_ack_ratio,0.11990258129170912,binary_attack,mac,extra_trees,4
numeric__root_mac_ack_ratio,0.08497658890549514,binary_attack,mac,extra_trees,4
numeric__client_mac_acked_delta,0.08062066368436506,binary_attack,mac,extra_trees,4
numeric__client_mac_tx_attempts_delta,0.07350830714300974,binary_attack,mac,extra_trees,4
numeric__root_mac_tx_attempts_delta,0.03457508000842967,binary_attack,mac,extra_trees,4
numeric__root_mac_acked_delta,0.0041172023409925835,binary_attack,mac,extra_trees,4
numeric__client_mac_reset_nodes,0.0008537682038060794,binary_attack,mac,extra_trees,4
numeric__client_mac_valid_nodes,0.0006431755435708115,binary_attack,mac,extra_trees,4
numeric__queue_drops_delta,0.00016098066854910298,binary_attack,mac,extra_trees,4
numeric__client_mac_rx_delta,0.4525492084003969,binary_attack,mac,extra_trees,5
numeric__root_mac_rx_delta,0.14525074629817356,binary_attack,mac,extra_trees,5
numeric__client_mac_ack_ratio,0.11718219051834784,binary_attack,mac,extra_trees,5
numeric__root_mac_ack_ratio,0.09128194933634037,binary_attack,mac,extra_trees,5
numeric__client_mac_acked_delta,0.07967811001194737,binary_attack,mac,extra_trees,5
numeric__client_mac_tx_attempts_delta,0.07254023571744088,binary_attack,mac,extra_trees,5
numeric__root_mac_tx_attempts_delta,0.036630272860447774,binary_attack,mac,extra_trees,5
numeric__root_mac_acked_delta,0.003444646308197434,binary_attack,mac,extra_trees,5
numeric__client_mac_reset_nodes,0.0007230922724369332,binary_attack,mac,extra_trees,5
numeric__client_mac_valid_nodes,0.0005627708742069652,binary_attack,mac,extra_trees,5
numeric__queue_drops_delta,0.00015677740206401948,binary_attack,mac,extra_trees,5
numeric__client_energest_listen_delta,0.2264768816194657,binary_attack,radio,extra_trees,1
numeric__client_radio_tx_fraction,0.20313288861711928,binary_attack,radio,extra_trees,1
numeric__client_energest_tx_delta,0.20061147972074062,binary_attack,radio,extra_trees,1
numeric__root_radio_tx_fraction,0.1798657610795425,binary_attack,radio,extra_trees,1
numeric__root_energest_tx_delta,0.17900274558543733,binary_attack,radio,extra_trees,1
numeric__client_energest_total_delta,0.01091024337769459,binary_attack,radio,extra_trees,1
numeric__client_energest_listen_delta,0.2195137113618478,binary_attack,radio,extra_trees,2
numeric__client_radio_tx_fraction,0.20741388827121357,binary_attack,radio,extra_trees,2
numeric__client_energest_tx_delta,0.2034174389847144,binary_attack,radio,extra_trees,2
numeric__root_energest_tx_delta,0.182117603635228,binary_attack,radio,extra_trees,2
numeric__root_radio_tx_fraction,0.17638467816453615,binary_attack,radio,extra_trees,2
numeric__client_energest_total_delta,0.011152679582460093,binary_attack,radio,extra_trees,2
numeric__client_radio_tx_fraction,0.21597498458212638,binary_attack,radio,extra_trees,3
numeric__client_energest_tx_delta,0.21499184808537858,binary_attack,radio,extra_trees,3
numeric__client_energest_listen_delta,0.20463763900430088,binary_attack,radio,extra_trees,3
numeric__root_energest_tx_delta,0.1790963065571709,binary_attack,radio,extra_trees,3
numeric__root_radio_tx_fraction,0.17800655661726267,binary_attack,radio,extra_trees,3
numeric__client_energest_total_delta,0.007292665153760635,binary_attack,radio,extra_trees,3
numeric__client_energest_listen_delta,0.21931700635962206,binary_attack,radio,extra_trees,4
numeric__client_energest_tx_delta,0.21144067793822346,binary_attack,radio,extra_trees,4
numeric__client_radio_tx_fraction,0.20698334658484568,binary_attack,radio,extra_trees,4
numeric__root_energest_tx_delta,0.17949718474192905,binary_attack,radio,extra_trees,4
numeric__root_radio_tx_fraction,0.17407973552419856,binary_attack,radio,extra_trees,4
numeric__client_energest_total_delta,0.008682048851181219,binary_attack,radio,extra_trees,4
numeric__client_energest_listen_delta,0.21738577861396638,binary_attack,radio,extra_trees,5
numeric__client_radio_tx_fraction,0.2073441989502545,binary_attack,radio,extra_trees,5
numeric__client_energest_tx_delta,0.2032836391683225,binary_attack,radio,extra_trees,5
numeric__root_energest_tx_delta,0.18684317653307925,binary_attack,radio,extra_trees,5
numeric__root_radio_tx_fraction,0.1759831298101272,binary_attack,radio,extra_trees,5
numeric__client_energest_total_delta,0.00916007692425031,binary_attack,radio,extra_trees,5
numeric__client_mac_rx_delta,0.16887691619624448,binary_attack,all,extra_trees,1
numeric__client_energest_tx_delta,0.09351491445582905,binary_attack,all,extra_trees,1
numeric__client_energest_listen_delta,0.0919273280010988,binary_attack,all,extra_trees,1
numeric__mean_rank,0.08097079935699002,binary_attack,all,extra_trees,1
numeric__client_radio_tx_fraction,0.07766948565229445,binary_attack,all,extra_trees,1
numeric__root_mac_rx_delta,0.07202149000307977,binary_attack,all,extra_trees,1
numeric__client_mac_ack_ratio,0.05617438923245879,binary_attack,all,extra_trees,1
numeric__mean_etx_x100,0.05461692976258548,binary_attack,all,extra_trees,1
numeric__p95_etx_x100,0.04490134128654275,binary_attack,all,extra_trees,1
numeric__client_mac_acked_delta,0.043201966708192666,binary_attack,all,extra_trees,1
numeric__client_mac_tx_attempts_delta,0.04038261731911804,binary_attack,all,extra_trees,1
numeric__root_mean_etx_x100,0.033939004713325144,binary_attack,all,extra_trees,1
numeric__std_etx_x100,0.02910858723454115,binary_attack,all,extra_trees,1
numeric__root_mac_ack_ratio,0.02862157237753803,binary_attack,all,extra_trees,1
numeric__root_mac_tx_attempts_delta,0.015425434305425624,binary_attack,all,extra_trees,1
numeric__mean_rssi,0.014733728376849161,binary_attack,all,extra_trees,1
numeric__root_energest_tx_delta,0.010988358508371904,binary_attack,all,extra_trees,1
numeric__root_radio_tx_fraction,0.010695797633160217,binary_attack,all,extra_trees,1
numeric__mean_rtt_ms,0.0085240424788652,binary_attack,all,extra_trees,1
numeric__p95_rtt_ms,0.0032771339754736864,binary_attack,all,extra_trees,1
numeric__median_rtt_ms,0.002862132893912255,binary_attack,all,extra_trees,1
numeric__std_rtt_ms,0.002524580586293507,binary_attack,all,extra_trees,1
numeric__max_rtt_ms,0.002517947532246459,binary_attack,all,extra_trees,1
numeric__app_tx_delta,0.001992137255856597,binary_attack,all,extra_trees,1
numeric__app_rx_delta,0.0015709135589000427,binary_attack,all,extra_trees,1
numeric__root_server_rx_delta,0.0013645689743420665,binary_attack,all,extra_trees,1
numeric__root_server_tx_delta,0.001319974115330176,binary_attack,all,extra_trees,1
numeric__root_mac_acked_delta,0.0012852571309506665,binary_attack,all,extra_trees,1
numeric__transaction_success_count,0.0011826835617373918,binary_attack,all,extra_trees,1
numeric__uplink_success_count,0.0011057658639482702,binary_attack,all,extra_trees,1
numeric__transaction_count,0.0010353432706085726,binary_attack,all,extra_trees,1
numeric__client_energest_total_delta,0.0007160946701560425,binary_attack,all,extra_trees,1
numeric__client_mac_reset_nodes,0.00020213083344408056,binary_attack,all,extra_trees,1
numeric__app_timeouts_delta,0.00019992270224200104,binary_attack,all,extra_trees,1
numeric__parent_changes_delta,0.00017256636671090546,binary_attack,all,extra_trees,1
numeric__app_delivery_ratio,0.00015612871167917025,binary_attack,all,extra_trees,1
numeric__client_mac_valid_nodes,0.00012318727387335512,binary_attack,all,extra_trees,1
